doc_id,Title,Author,year,journal,DOI,Url
6N8SUYNB,Reconstitution of gametes for assisted reproduction,"Eichenlaub-Ritter, U.",2003,HUMAN REPRODUCTION,10.1093/humrep/deg080,
LFG7826E,Ion currents involved in gamete physiology,"Gallo, Alessandra; Tosti, Elisabetta",2015,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,10.1387/ijdb.150202et,
59PV8MU2,Legal and ethical responsibilities of gamete banks,"Deech, R.",1998,HUMAN REPRODUCTION,10.1093/humrep/13.suppl_2.80,
8I7B49ID,Human gamete fusion can bypass β1 integrin requirement,"Ji, Y. Z.; Wolf, J. P.; Jouannet, P.; Bomsel, M.",1998,HUMAN REPRODUCTION,10.1093/humrep/13.3.682,
A53LUBUA,Ectopic expression of a <i>Chlamydomonas</i> mt+-specific homeodomain protein in mt- gametes initiates zygote development without gamete fusion,"Zhao, H.; Lu, M.; Singh, R.; Snell, W. J.",2001,GENES & DEVELOPMENT,10.1101/gad.919501,
SEAT2PIB,Is vitronectin the velcro that binds the gametes together?,"Fusi, Francesco M.; Bernocchi, Nadia; Ferrari, Augusto; Bronson, R. A.",1996,MOLECULAR HUMAN REPRODUCTION,10.1093/molehr/2.11.859,
KREIRUWF,Expression of cadherin adhesion molecules on human gametes,"Rufas, O.; Fisch, B.; Ziv, S.; Shalgi, R.",2000,MOLECULAR HUMAN REPRODUCTION,10.1093/molehr/6.2.163,
9AWDWZ9L,Gamete donation in a system of need-adjusted reciprocity,"Pennings, G.",2005,HUMAN REPRODUCTION,10.1093/humrep/dei200,
ZFQ4WKEE,"Efficiency of gamete usage in nature: sperm storage, fertilization and polyspermy","Snook, R. R.; Markow, T. A.",2002,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2001.1854,
3V9F9LBZ,The evolution of conspecific gamete precedence and its effect on reinforcement,"Lorch, P. D.; Servedio, M. R.",2007,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2007.01306.x,
248VT3CB,Mate choice among yeast gametes can purge deleterious mutations,"Tazzyman, S. J.; Seymour, R. M.; Pomiankowski, A.; Greig, D.",2012,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2012.02539.x,
RA8C2EZ2,Donor identification 'kills gamete donation'? A response,"Allan, Sonia",2012,HUMAN REPRODUCTION,10.1093/humrep/des351,
TYUGHBBE,Mandatory counseling for gamete donation recipients: ethical dilemmas,"Benward, Jean",2015,FERTILITY AND STERILITY,10.1016/j.fertnstert.2015.07.1154,
22Z63EUF,Opinions of infertile Turkish women on gamete donation and gestational surrogacy,"Baykal, Baris; Korkmaz, Cem; Ceyhan, Seyit Temel; Goktolga, Umit; Baser, Iskender",2008,FERTILITY AND STERILITY,10.1016/j.fertnstert.2007.04.022,
WINN9V78,UK gamete donors reflections on the removal of anonymity: implications for recruitment,"Frith, Lucy; Blyth, Eric; Farrand, Abigail",2007,HUMAN REPRODUCTION,10.1093/humrep/dem061,
JS85ZZAY,"Membrane fusion triggers rapid degradation of two gamete-specific, fusion-essential proteins in a membrane block to polygamy in <i>Chlamydomonas</i>","Liu, Yanjie; Misamore, Michael J.; Snell, William J.",2010,DEVELOPMENT,10.1242/dev.044743,
B6WM43CP,Downregulation of egg cell-secreted EC1 is accompanied with delayed gamete fusion and polytubey,"Rademacher, Svenja; Sprunck, Stefanie",2013,PLANT SIGNALING & BEHAVIOR,10.4161/psb.27377,
QJBXLCM3,Natural Hybridization in the Sea Urchin Genus Pseudoboletia Between Species Without Apparent Barriers to Gamete Recognition,"Zigler, Kirk S.; Byrne, Maria; Raff, Elizabeth C.; Lessios, H. A.; Raff, Rudolf A.",2012,EVOLUTION,10.1111/j.1558-5646.2012.01609.x,
ZT45G6VU,Selection of cryoprotectants based on their toxic effects on oyster gametes and embryos,"Nascimento, I. A.; Leite, Mbnl; de Araújo, M. M. S.; Sansone, G.; Pereira, S. A.; Santo, M. D.",2005,CRYOBIOLOGY,10.1016/j.cryobiol.2005.04.006,
FI4WF8GN,Extracellular vesicle-mediated delivery of molecular compounds into gametes and embryos: learning from nature,"Barkalina, Natalia; Jones, Celine; Wood, Matthew J. A.; Coward, Kevin",2015,HUMAN REPRODUCTION UPDATE,10.1093/humupd/dmv027,
8I85QIPA,How to kill gamete donation: retrospective legislation and donor anonymity,"Pennings, Guido",2012,HUMAN REPRODUCTION,10.1093/humrep/des218,
BSNF6QR9,Sperm competition and the evolution of gamete morphology in frogs,"Byrne, P. G.; Simmons, L. W.; Roberts, J. D.",2003,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2003.2433,
TZQX89YT,Rethinking gamete/embryo isolation and culture with microfluidics,"Suh, R. S.; Phadke, N.; Ohl, D. A.; Takayama, S.; Smith, G. D.",2003,HUMAN REPRODUCTION UPDATE,10.1093/humupd/dmg037,
RD36QJ2Y,"Sperm protein ""DE"" mediates gamete fusion through an evolutionarily conserved site of the CRISP family","Ellerman, Diego A.; Cohen, Debora J.; Da Ros, Vanina G.; Morgenfeld, Mauro M.; Busso, Dolores; Cuasnicu, Patricia S.",2006,DEVELOPMENTAL BIOLOGY,10.1016/j.ydbio.2006.05.013,
QJMJZ4MZ,Perceived negative consequences of donor gametes from male and female members of infertile couples,"Eisenberg, Michael L.; Smith, James F.; Millstein, Susan G.; Walsh, Thomas J.; Breyer, Benjamin N.; Katz, Patricia P.",2010,FERTILITY AND STERILITY,10.1016/j.fertnstert.2009.04.049,
AZ5VFGVA,Distinguishing 2N Gamete Nuclei from Doublets in Pollen Using Flow Cytometry and Pulse Analysis,"Kron, Paul; Husband, Brian C.",2015,CYTOMETRY PART A,10.1002/cyto.a.22696,
P79XKINE,A relationship between traditionally motivated patterns and gamete donation and surrogacy in urban areas of Greece,"Chliaoutakis, J. E.",2002,HUMAN REPRODUCTION,10.1093/humrep/17.8.2187,
WZV92VK5,The conserved plant sterility gene <i>HAP2</i> functions after attachment of fusogenic membranes in <i>Chlamydomonas</i> and <i>Plasmodium</i> gametes,"Liu, Yanjie; Tewari, Rita; Ning, Jue; Blagborough, Andrew M.; Garbom, Sara; Pei, Jimin; Grishin, Nick V.; Steele, Robert E.; Sinden, Robert E.; Snell, William J.; Billker, Oliver",2008,GENES & DEVELOPMENT,10.1101/gad.1656508,
WLF4DXKK,Taskforce 7: Ethical considerations for the cryopreservation of gametes and reproductive tissues for self use,"Shenfield, F.; Pennings, G.; Cohen, J.; Devroey, P.; Sureau, C.; Tarlatzis, B.",2004,HUMAN REPRODUCTION,10.1093/humrep/deh051,
T24DSWAF,Polyspermy Versus Unreduced Male Gametes as the Origin of Nonaploids (9x) Common Wheat Plants,"Suarez, Ey; Lopez, Ag; Naranjo, Ca",1992,CARYOLOGIA,10.1080/00087114.1992.10797206,
UH2L4ETQ,Adaptive gamete-recognition divergence in a hybridizing <i>Mytilus</i> population,"Springer, Stevan A.; Crespi, Bernard J.",2007,EVOLUTION,10.1111/j.1558-5646.2007.00073.x,
8747HAHJ,Transcriptional activity of male gamete-specific histone <i>gcH3</i> promoter in sperm cells of <i>Lilium longiflorum</i>,"Okada, T.; Bhalla, P. L.; Singh, M. B.",2005,PLANT AND CELL PHYSIOLOGY,10.1093/pcp/pci075,
IGA6A6F4,Gamete fusion site on the egg cell and autonomous establishment of cell polarity in the zygote,"Okamoto, Takashi",2010,PLANT SIGNALING & BEHAVIOR,10.4161/psb.5.11.13468,
R6RSPV3A,SNP haplotypes in the angiotensin I-converting enzyme (<i>ACE</i>) gene:: Analysis of Nigerian family data using gamete competition models,"McKenzie, C. A.; Sinsheimer, J. S.; Adeyemo, A. A.; Cox, R. D.; Southam, L.; Hugill, A.; Bouzekri, N.; Lathrop, M.; Forrester, T. E.; Cooper, R. S.; Ward, R.",2005,ANNALS OF HUMAN GENETICS,10.1046/j.1529-8817.2004.00142.x,
A4PJTLM6,Using attitudinal indicators to explain the public's intention to have recourse to gamete donation and surrogacy,"Chliaoutakis, J. E.; Koukouli, S.; Papadakaki, M.",2002,HUMAN REPRODUCTION,10.1093/humrep/17.11.2995,
DVU5AQA6,Confirmation of the beneficial effects of brief coincubation of gametes in human in vitro fertilization,"Quinn, P.; Lydic, M. L.; Ho, M.; Bastuba, M.; Hendee, F.; Brody, S. A.",1998,FERTILITY AND STERILITY,10.1016/S0015-0282(97)00576-1,
QEAEYVFF,Chemically moderated gamete preferences predict offspring fitness in a broadcast spawning invertebrate,"Oliver, Mathew; Evans, Jonathan P.",2014,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2014.0148,
CPRWU7KS,The effects of brief gamete co-incubation in human in vitro fertilization,"Lin, S. P.; Lee, R. K. K.; Su, J. T.; Lin, M. H.; Hwu, Y. M.",2000,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1023/A:1009409229068,
L5P8NP92,Protein tyrosine phosphorylation in sperm during gamete interaction in the mouse: The influence of glucose,"Urner, F.; Leppens-Luisier, G.; Sakkas, D.",2001,BIOLOGY OF REPRODUCTION,10.1095/biolreprod64.5.1350,
Y8YYNARZ,Disclosure to children conceived with donor gametes should be optional,"Patrizio, P.; Mastroianni, A. C.; Mastroianni, L.",2001,HUMAN REPRODUCTION,10.1093/humrep/16.10.2036,
P2B9L62P,Two decades after legislation on identifiable donors in Sweden: are recipient couples ready to be open about using gamete donation?,"Isaksson, S.; Svanberg, A. Skoog; Sydsjo, G.; Thurin-Kjellberg, A.; Karlstrom, P.-O.; Solensten, N.-G.; Lampic, C.",2011,HUMAN REPRODUCTION,10.1093/humrep/deq365,
VXVAHYAZ,Gamete cytogenetic study in couples with implantation failure: aneuploidy rate is increased in both couple members,"Vialard, F.; Hammoud, I.; Molina-Gomes, D.; Wainer, R.; Bergere, M.; Albert, M.; Bailly, M.; de Mazancourt, P.; Selva, J.",2008,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/s10815-008-9258-6,
AUJF64ZG,"A protein isolated from human oviductal tissue <i>in vitro</i> secretion, identified as human lactoferrin, interacts with spermatozoa and oocytes and modulates gamete interaction","Zumoffen, C. M.; Gil, R.; Caille, A. M.; Morente, C.; Munuce, M. J.; Ghersevich, S. A.",2013,HUMAN REPRODUCTION,10.1093/humrep/det016,
DFZQM9AP,What are the effects of anonymity and secrecy on the welfare of the child in gamete donation?,"Shenfield, F.; Steele, S. J.",1997,HUMAN REPRODUCTION,10.1093/humrep/12.2.392,
X5JWX6KC,"Human testicular protein TPX1/CRISP-2:: localization in spermatozoa, fate after capacitation and relevance for gamete interaction","Busso, D.; Cohen, D. J.; Hayashi, M.; Kasahara, M.; Cuasnicú, P. S.",2005,MOLECULAR HUMAN REPRODUCTION,10.1093/molehr/gah156,
H9SLVP77,Direct gamete uterine transfer in patients with tubal absence or occlusion,"Ransom, M. X.; Garcia, A. J.; Doherty, K.; Shelden, R.; Kemmann, E.",1997,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/BF02765750,
FLP34M3G,Diverse chromosome complements in the functional gametes of interspecific hybrids of MT- and A-karyotype <i>Lycoris</i> spp.,"Chang, Yu-Chu; Shii, Chou-Tou; Lee, Yi-Ching; Chung, Mei-Chu",2013,PLANT SYSTEMATICS AND EVOLUTION,10.1007/s00606-013-0785-y,
JFEKIMLP,Expression of epithelial cadherin in the human male reproductive tract and gametes and evidence of its participation in fertilization,"Marin-Briggiler, C. I.; Veiga, M. F.; Matos, M. L.; Echeverria, M. F. Gonzalez; Furlong, L. I.; Vazquez-Levin, M. H.",2008,MOLECULAR HUMAN REPRODUCTION,10.1093/molehr/gan053,
A8WTZC83,Gamete-competition models,"Sinsheimer, J. S.; Blangero, J.; Lange, K.",2000,AMERICAN JOURNAL OF HUMAN GENETICS,10.1086/302826,
WKMAHBS4,Preoperative Ultrasonic Assessment of Women Undergoing Gamete Intrafallopian Transfer - a Prospective-Study of 350 Cases,"Guirgis, Rr; Alshawaf, T.; Craft, Il",1993,ULTRASOUND IN OBSTETRICS & GYNECOLOGY,10.1046/j.1469-0705.1993.03020124.x,
4LKP2527,Case reports to suggest an algorithm for management of total fertilisation failure prior to use of donor gametes,"Nicopoullos, James D. M.; Whitney, E.; Wells, V.; Batha, S.; Faris, R.; Abdalla, H.",2015,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/s10815-015-0564-5,
C8KAETPY,Evidence that human epididymal protein ARP plays a role in gamete fusion through complementary sites on the surface of the human egg,"Cohen, D. J.; Ellerman, D. A.; Busso, D.; Morgenfeld, M. M.; Piazza, A. D.; Hayashi, M.; Young, E. T.; Kasahara, M.; Cuasnicu, P. S.",2001,BIOLOGY OF REPRODUCTION,10.1095/biolreprod65.4.1000,
Y5TCUHYQ,Coevolution of Positively Selected IZUMO1 and CD9 in Rodents: Evidence of Interaction Between Gamete Fusion Proteins?,"Vicens, Alberto; Roldan, Eduardo R. S.",2014,BIOLOGY OF REPRODUCTION,10.1095/biolreprod.113.116871,
L3TC6UTY,Gamete membrane dynamics during double fertilization in <i>Arabidopsis</i>,"Igawa, Tomoko; Mori, Toshiyuki",2013,PLANT SIGNALING & BEHAVIOR,10.4161/psb.24512,
UZR4M5HS,Triploid induction in <i>Populus alba</i> x <i>P</i>. <i>glandulosa</i> by chromosome doubling of female gametes,"Li, Y. H.; Kang, X. Y.; Wang, S. D.; Zhang, Z. H.; Chen, H. W.",2008,SILVAE GENETICA,10.1515/sg-2008-0006,
AWPVHFWN,Strengths and pitfalls of Canadian gamete and embryo donor registries: searching for beneficent solutions,"Couture, Vincent; Dubois, Marie-Andree; Drouin, Regen; Moutquin, Jean-Marie; Bouffard, Chantal",2014,REPRODUCTIVE BIOMEDICINE ONLINE,10.1016/j.rbmo.2013.10.020,
X69I9W7K,"Gamete derivation from embryonic stem cells, induced pluripotent stem cells or somatic cell nuclear transfer-derived embryonic stem cells: state of the art","Easley, Charles A.; Simerly, Calvin R.; Schatten, Gerald",2015,REPRODUCTION FERTILITY AND DEVELOPMENT,10.1071/RD14317,
RS8AZFAP,"Assessing risks of invasion through gamete performance: farm Atlantic salmon sperm and eggs show equivalence in function, fertility, compatibility and competitiveness to wild Atlantic salmon","Yeates, Sarah E.; Einum, Sigurd; Fleming, Ian A.; Holt, William V.; Gage, Matthew J. G.",2014,EVOLUTIONARY APPLICATIONS,10.1111/eva.12148,
NC6ZLETX,Reproductive semi-cloning respecting biparental embryo origin - Embryos from syngamy between a gamete and a haploidized somatic cell,"Tesarik, J.",2002,HUMAN REPRODUCTION,10.1093/humrep/17.8.1933,
L4QFLKUA,The influence of endometriosis on the success of gamete intrafallopian transfer (GIFT),"Chang, M. Y.; Chiang, C. H.; Hsieh, T. T.; Soong, Y. K.; Hsu, K. H.",1997,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/BF02765774,
J24SLS42,Adaptive Evolution of M3 Lysin-A Candidate Gamete Recognition Protein in the <i>Mytilus edulis</i> Species Complex,"Lima, Thiago G.; McCartney, Michael A.",2013,MOLECULAR BIOLOGY AND EVOLUTION,10.1093/molbev/mst165,
GQWWNAQ2,Random genetic drift and gamete frequency,"Mano, S.",2005,GENETICS,10.1534/genetics.104.036897,
LBXA6K4F,Use of human gametes obtained from anonymous donors for the production of human embryonic stem cell lines,"Lanzendorf, S. E.; Boyd, C. A.; Wright, D. L.; Muasher, S.; Oehninger, S.; Hodgen, G. D.",2001,FERTILITY AND STERILITY,10.1016/S0015-0282(01)01825-8,
P6KDLIWK,Extreme geographical fixation of variation in the <i>Plasmodium falciparum</i> gamete surface protein gene <i>Pfs48/45</i> compared with microsatellite loci,"Conway, D. J.; Machado, R. L. D.; Singh, B.; Dessert, P.; Mikes, Z. S.; Povoa, M. M.; Oduola, A. M. J.; Roper, C.",2001,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,10.1016/S0166-6851(01)00278-X,
AR5KEI2X,"Visualizing the Spatial Arrangement of Flagella-Eyespots-Cell Fusion Sites in Gametes and Planozygotes of <i>Chlamydomonas reinhardtii</i> (Chlorophyceae, Chlorophyta) with High-Resolution FE-SEM","Miyamura, Shinichi; Mogi, Yuko; Mitsuhashi, Fusako; Kawano, Shigeyuki; Nagumo, Tamotsu",2009,CYTOLOGIA,10.1508/cytologia.74.409,
TGUPZMYW,The cytoplasmic domain of the gamete membrane fusion protein HAP2 targets the protein to the fusion site in <i>Chlamydomonas</i> and regulates the fusion reaction,"Liu, Yanjie; Pei, Jimin; Grishin, Nick; Snell, William J.",2015,DEVELOPMENT,10.1242/dev.118844,
8HJR2BB4,Production of Polyploids and Unreduced Gametes in <i>Lilium auratum</i> x <i>L</i>. <i>henryi</i> Hybrid,"Chung, Mi-Young; Chung, Jae-Dong; Ramanna, Munikote; van Tuyl, Jaap M.; Lim, Ki-Byung",2013,INTERNATIONAL JOURNAL OF BIOLOGICAL SCIENCES,10.7150/ijbs.6427,
PIA2DKDV,Gamete Attachment Requires GEX2 for Successful Fertilization in <i>Arabidopsis</i>,"Mori, Toshiyuki; Igawa, Tomoko; Tamiya, Gen; Miyagishima, Shin-ya; Berger, Frederic",2014,CURRENT BIOLOGY,10.1016/j.cub.2013.11.030,
E5SPAMC6,"Performance of non-motile male gametes in the sea:: analysis of paternity and fertilization success in a natural population of a red seaweed, <i>Gracilaria gracilis</i>","Engel, C. R.; Wattier, R.; Destombe, C.; Valero, M.",1999,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.1999.0861,
NXB5KNTQ,A Monoclonal-Antibody That Blocks Adhesion of Chlamydomonas-Mt+ Gametes,"Snell, Wj; Kosfiszer, Mg; Clausell, A.; Perillo, N.; Imam, S.; Hunnicutt, G.",1986,JOURNAL OF CELL BIOLOGY,10.1083/jcb.103.6.2449,
GJT54TFZ,Neurochemical Control of Gamete Release in Starfish,"Chaet, Ab",1966,BIOLOGICAL BULLETIN,10.2307/1539951,
5BL9PSG4,"Interests, obligations, and rights in gamete donation: a committee opinion",,2014,FERTILITY AND STERILITY,10.1016/j.fertnstert.2014.06.001,
E3SBH7S2,Adaptive Evolution of Gamete-Recognition Proteins in Birds,"Berlin, Sofia; Qu, Lujiang; Ellegren, Hans",2008,JOURNAL OF MOLECULAR EVOLUTION,10.1007/s00239-008-9165-6,
E728FX9N,Embryonic stem-cell gametes: the new frontier in human reproduction,"Master, Z.",2006,HUMAN REPRODUCTION,10.1093/humrep/dei430,
FZHYXS46,Short gamete co-incubation during in vitro fertilization decreases the fertilization rate and does not improve embryo quality:: a prospective auto controlled study,"Barraud-Lange, V.; Sifer, C.; Pocate, K.; Ziyyat, A.; Martin-Pont, B.; Porcher, R.; Hugues, J. N.; Wolf, J. P.",2008,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/s10815-008-9240-3,
YGIB6SDR,"A gamete-specific, sex-limited homeodomain protein in <i>Chlamydomonas</i>","Kurvari, V.; Grishin, N. V.; Snell, W. J.",1998,JOURNAL OF CELL BIOLOGY,10.1083/jcb.143.7.1971,
T86KTNNU,Maternal Communication with Gametes and Embryo: A Personal Opinion,"Fazeli, A.",2011,REPRODUCTION IN DOMESTIC ANIMALS,10.1111/j.1439-0531.2011.01870.x,
RKI53BE3,Female control of male gamete delivery during fertilization in <i>Arabidopsis thaliana</i>,"Rotman, N.; Rozier, F.; Boavida, L.; Dumas, C.; Berger, F.; Faure, J. E.",2003,CURRENT BIOLOGY,10.1016/S0960-9822(03)00093-9,
JIIX5VRT,Variance effective population size based on multilocus gamete frequencies in coniferous populations: An example of a Scots pine clonal seed orchard,"Burczyk, J.",1996,HEREDITY,10.1038/hdy.1996.110,
IXGB9CFT,"How parents whose children have been conceived with donor gametes make their disclosure decision: contexts, influences, and couple dynamics","Shehab, Dena; Duff, Julia; Pasch, Lauri A.; MacDougall, Kirstin; Scheib, Joanna E.; Nachtigall, Robert D.",2008,FERTILITY AND STERILITY,10.1016/j.fertnstert.2007.02.046,
U3YKAMKG,"Gamete Motion, Search, and the Evolution of Anisogamy, Oogamy, and Chemotaxis","Cox, Pa; Sethian, Ja",1985,AMERICAN NATURALIST,10.1086/284329,
3JPHVNDQ,A prospective study of stress among women undergoing in vitro fertilization or gamete intrafallopian transfer,"Klonoff-Cohen, H.; Chu, E.; Natarajan, L.; Sieber, W.",2001,FERTILITY AND STERILITY,10.1016/S0015-0282(01)02008-8,
KQH6B44R,A novel <i>in vitro</i> system for gamete fusion in maize,"Peng, X. B.; Sun, M. X.; Yang, H. Y.",2005,CELL RESEARCH,10.1038/sj.cr.7290343,
Y8ZGE4MG,Attitudes towards gamete donation among Swedish gynaecologists and obstetricians,"Svanberg, A. Skoog; Sydsjo, G.; Selling, K. Ekholm; Lampic, C.",2008,HUMAN REPRODUCTION,10.1093/humrep/dem416,
NGA2JJ55,Gamete evolution and sperm numbers: sperm competition versus sperm limitation,"Parker, Geoff A.; Lehtonen, Jussi",2014,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2014.0836,
XE4LLVD2,Common cell-surface antigens functioning in self-recognition reactions by both somatic cells and gametes in the solitary ascidian <i>Halocynthia roretzi</i>,"Arai, M.; Suzuki-Koike, M.; Ohtake, S. I.; Ohba, H.; Tanaka, K.; Chiba, J.",2001,MICROBIOLOGY AND IMMUNOLOGY,10.1111/j.1348-0421.2001.tb01326.x,
Z28NJDIY,Do we treat the male or his gamete?,"Devroey, P.; Vandervorst, M.; Nagy, P.; Van Steirteghem, A.",1998,HUMAN REPRODUCTION,10.1093/humrep/13.suppl_1.178,
H872CDNN,Selection for Gamete Lethals and S-Alleles in Complex Heterozygotes,"Charlesworth, B.",1979,HEREDITY,10.1038/hdy.1979.71,
QEHKLZBE,Selection and demographic history shape the molecular evolution of the gamete compatibility protein bindin in Pisaster sea stars,"Popovic, Iva; Marko, Peter B.; Wares, John P.; Hart, Michael W.",2014,ECOLOGY AND EVOLUTION,10.1002/ece3.1042,
PHM6AAT8,Comparative Receptor Study in Gamete Chemotaxis of the Seaweeds Ectocarpus-Siliculosus and Cutleria-Multifida - an Approach to Interspecific Communication of Algal Gametes,"Boland, W.; Marner, Fj; Jaenicke, L.; Muller, Dg; Folster, E.",1983,EUROPEAN JOURNAL OF BIOCHEMISTRY,10.1111/j.1432-1033.1983.tb07536.x,
LJ8PXCXT,New molecular markers for the evaluation of gamete quality,"Ruvolo, G.; Fattouh, R. R.; Bosco, L.; Brucculeri, A. M.; Cittadini, E.",2013,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/s10815-013-9943-y,
HQ6RF95G,Informing offspring of their conception by gamete donation,,2004,FERTILITY AND STERILITY,10.1016/j.fertnstert.2003.11.011,
6RDM6NRW,Evolution of Gamete Motility Differences .1. Relation Between Swimming Speed and Pheromonal Attraction,"Hoekstra, Rf; Janz, Rf; Schilstra, Aj",1984,JOURNAL OF THEORETICAL BIOLOGY,10.1016/S0022-5193(84)80121-6,
PTE9IB4G,Recommendations for gamete and embryo donation: a committee opinion,,2013,FERTILITY AND STERILITY,10.1016/j.fertnstert.2012.09.037,
4SE6PGGX,Inhibition of Gamete Membrane-Fusion in the Sea-Urchin by Quercetin,"Eckberg, Wr; Perotti, Me",1983,BIOLOGICAL BULLETIN,10.2307/1541190,
SXBLYDVG,Informing offspring of their conception by gamete donation,,2004,FERTILITY AND STERILITY,10.1016/j.fertnstert.2004.05.009,
